"Name","State","Notes","User","Tags","Created","Runtime","Sweep","layer_structure","sample_size","seed","epoch","test_acc","test_loss","train_loss","trainer/global_step","valid_acc","valid_loss"
"sample_55000","finished","-","","","2025-07-08T15:54:07.000Z","461","","128","55000","42","15","0.7258999943733215","0.964904487133026","1.0549763441085815","12900","0.7269999980926514","0.9847199320793152"
"sample_30000","finished","-","","","2025-07-08T15:49:03.000Z","298","","128","30000","42","15","0.501800000667572","2.1786856651306152","2.189455986022949","7035","0.5054000020027161","2.1816678047180176"
"sample_8500","finished","-","","","2025-07-08T15:46:58.000Z","120","","128","8500","42","15","0.10320000350475313","2.291698455810547","2.298419952392578","1995","0.09619999676942824","2.2928106784820557"
"sample_500","finished","-","","","2025-07-08T15:45:56.000Z","57","","128","500","42","15","0.10320000350475313","2.303924322128296","2.309215784072876","120","0.09619999676942824","2.305344820022583"
"sample_55000","finished","-","","","2025-07-08T15:38:35.000Z","435","","64","55000","42","15","0.6913999915122986","1.012284517288208","1.09649395942688","12900","0.6800000071525574","1.04257071018219"
"sample_30000","finished","-","","","2025-07-08T15:34:05.000Z","264","","64","30000","42","15","0.3646000027656555","2.1322286128997803","2.124323606491089","7035","0.36579999327659607","2.1364998817443848"
"sample_8500","finished","-","","","2025-07-08T15:32:04.000Z","116","","64","8500","42","15","0.18850000202655792","2.2859549522399902","2.2782950401306152","1995","0.193000003695488","2.2860043048858643"
"sample_500","finished","-","","","2025-07-08T15:31:03.000Z","55","","64","500","42","15","0.10289999842643738","2.3006069660186768","2.294071674346924","120","0.11100000143051147","2.300320863723755"
"sample_55000","finished","-","","","2025-07-08T15:23:48.000Z","429","","32","55000","42","15","0.7063999772071838","1.3014715909957886","1.4224382638931274","12900","0.7075999975204468","1.3122828006744385"
"sample_30000","finished","-","","","2025-07-08T15:19:21.000Z","262","","32","30000","42","15","0.4183999896049499","2.216226100921631","2.2259867191314697","7035","0.4277999997138977","2.2160606384277344"
"sample_8500","finished","-","","","2025-07-08T15:17:22.000Z","113","","32","8500","42","15","0.12460000067949296","2.295569896697998","2.300070285797119","1995","0.12439999729394911","2.295344829559326"
"sample_500","finished","-","","","2025-07-08T15:16:21.000Z","55","","32","500","42","15","0.09679999947547913","2.308246612548828","2.293386459350586","120","0.09359999746084212","2.308215379714966"
"sample_55000","finished","-","","","2025-07-08T15:08:58.000Z","438","","16","55000","42","15","0.28450000286102295","2.1479058265686035","2.1887621879577637","12900","0.2847999930381775","2.149038314819336"
"sample_30000","finished","-","","","2025-07-08T15:04:29.000Z","264","","16","30000","42","15","0.1934999972581863","2.2752463817596436","2.291142225265503","7035","0.2037999927997589","2.2743539810180664"
"sample_8500","finished","-","","","2025-07-08T15:02:26.000Z","118","","16","8500","42","15","0.10279999673366548","2.305246591567993","2.2954530715942383","1995","0.1111999973654747","2.3024673461914062"
"sample_500","finished","-","","","2025-07-08T15:01:26.000Z","54","","16","500","42","15","0.10279999673366548","2.3145711421966553","2.3042712211608887","120","0.11100000143051147","2.3109021186828613"
"sample_55000","finished","-","","","2025-07-08T14:53:45.000Z","455","","8","55000","42","15","0.22709999978542328","1.9536515474319456","2.197333335876465","12900","0.21279999613761905","1.9572384357452393"
"sample_30000","finished","-","","","2025-07-08T14:49:07.000Z","272","","8","30000","42","15","0.2061000019311905","2.2003183364868164","2.2110893726348877","7035","0.2160000056028366","2.1988325119018555"
"sample_8500","finished","-","","","2025-07-08T14:47:08.000Z","113","","8","8500","42","15","0.10329999774694444","2.308194398880005","2.298370599746704","1995","0.1111999973654747","2.3024351596832275"
"sample_500","finished","-","","","2025-07-08T14:46:07.000Z","56","","8","500","42","15","0.10279999673366548","2.3272759914398193","2.365553379058838","120","0.11100000143051147","2.320678234100342"
"sample_55000","finished","-","","","2025-07-08T14:38:09.000Z","472","","128","55000","1","15","0.7282999753952026","1.073797345161438","1.312048316001892","12900","0.718999981880188","1.0863207578659058"
"sample_30000","finished","-","","","2025-07-08T14:33:25.000Z","278","","128","30000","1","15","0.44679999351501465","2.1998631954193115","2.205150842666626","7035","0.4514000117778778","2.200744390487671"
"sample_8500","finished","-","","","2025-07-08T14:31:23.000Z","116","","128","8500","1","15","0.15139999985694885","2.2938497066497803","2.2953104972839355","1995","0.15760000050067902","2.2938742637634277"
"sample_500","finished","-","","","2025-07-08T14:30:22.000Z","56","","128","500","1","15","0.0908999964594841","2.305311441421509","2.2962160110473633","120","0.0908000022172928","2.3049960136413574"
"sample_55000","finished","-","","","2025-07-08T14:22:40.000Z","456","","64","55000","1","15","0.663100004196167","1.1539721488952637","1.392628192901611","12900","0.6610000133514404","1.170602560043335"
"sample_30000","finished","-","","","2025-07-08T14:18:04.000Z","271","","64","30000","1","15","0.39980000257492065","2.169700860977173","2.1787374019622803","7035","0.4056000113487244","2.171891212463379"
"sample_8500","finished","-","","","2025-07-08T14:16:02.000Z","116","","64","8500","1","15","0.18529999256134033","2.2922961711883545","2.279977798461914","1995","0.17960000038146973","2.2909247875213623"
"sample_500","finished","-","","","2025-07-08T14:14:56.000Z","61","","64","500","1","15","0.09790000319480896","2.30354642868042","2.29184889793396","120","0.09839999675750732","2.301401853561402"
"sample_55000","finished","-","","","2025-07-08T14:07:31.000Z","439","","32","55000","1","15","0.6146000027656555","1.3173480033874512","1.4302029609680176","12900","0.6069999933242798","1.32444429397583"
"sample_30000","finished","-","","","2025-07-08T14:03:01.000Z","264","","32","30000","1","15","0.34929999709129333","2.1663899421691895","2.163759469985962","7035","0.35420000553131104","2.1674299240112305"
"sample_8500","finished","-","","","2025-07-08T14:01:03.000Z","112","","32","8500","1","15","0.0957999974489212","2.290559768676758","2.2806241512298584","1995","0.09920000284910202","2.291213274002075"
"sample_500","finished","-","","","2025-07-08T14:00:10.000Z","50","","32","500","1","15","0.0957999974489212","2.3044443130493164","2.3189914226531982","120","0.09920000284910202","2.3051624298095703"
