"Name","State","Notes","User","Tags","Created","Runtime","Sweep","layer_structure","sample_size","seed","epoch","test_acc","test_loss","train_loss","trainer/global_step","valid_acc","valid_loss"
"sample_32000","finished","-","","","2025-09-07T09:54:07.000Z","100","","8","32000","1","6","0.09740000218153","2.3150928020477295","2.326460838317871","3000","0.10000000149011612","2.31855845451355"
"sample_12000","finished","-","","","2025-09-06T18:27:37.000Z","82","","64","12000","0","10","0.11349999904632568","2.3012876510620117","2.307814836502075","1880","0.11020000278949738","2.300882339477539"
"sample_55000","finished","-","","","2025-09-06T18:03:33.000Z","372","","16","55000","0","15","0.2851000130176544","2.0257441997528076","1.905751585960388","12900","0.29120001196861267","2.015207529067993"
"sample_40000","finished","-","","","2025-09-08T16:39:09.000Z","245","","64","40000","42","12","0.1137000024318695","2.2912213802337646","2.291611909866333","7500","0.11060000211000444","2.2907004356384277"
"sample_32000","finished","-","","","2025-09-06T18:31:00.000Z","117","","64","32000","0","7","0.11349999904632568","2.299297571182251","2.288809061050415","3500","0.11020000278949738","2.299138307571411"
"sample_25000","finished","-","","","2025-09-07T16:45:37.000Z","122","","128","25000","1","9","0.10109999775886536","2.2991161346435547","2.297492027282715","3519","0.09000000357627869","2.30001163482666"
"sample_55000","finished","-","","","2025-09-06T19:09:20.000Z","314","","256","55000","0","10","0.1378999948501587","2.2832515239715576","2.2862770557403564","8600","0.13079999387264252","2.2845280170440674"
"sample_32000","finished","-","","","2025-09-06T18:12:56.000Z","99","","32","32000","0","6","0.0982000008225441","2.3000547885894775","2.289701223373413","3000","0.09600000083446504","2.3009777069091797"
"sample_32000","finished","-","","","2025-09-08T18:11:49.000Z","254","","512","32000","42","10","0.17090000212192535","2.2910144329071045","2.2904131412506104","5000","0.1565999984741211","2.2909533977508545"
"sample_12000","finished","-","","","2025-09-08T17:26:39.000Z","215","","256","12000","42","24","0.27630001306533813","2.296327829360962","2.2929065227508545","4512","0.262800008058548","2.2964704036712646"
"sample_55000","finished","-","","","2025-09-07T16:40:39.000Z","173","","64","55000","1","8","0.1850000023841858","2.2885782718658447","2.2988903522491455","6880","0.17560000717639923","2.2896580696105957"
"sample_47000","finished","-","","","2025-09-07T09:57:57.000Z","136","","8","47000","1","6","0.09740000218153","2.3100178241729736","2.3019280433654785","4410","0.10000000149011612","2.313260316848755"
"sample_12000","finished","-","","","2025-09-06T22:59:32.000Z","238","","1024","12000","0","12","0.11760000139474867","2.2948532104492188","2.296778678894043","2256","0.11479999870061874","2.295348882675171"
"sample_55000","finished","-","","","2025-09-08T18:25:46.000Z","327","","512","55000","42","8","0.2029000073671341","2.2837650775909424","2.30289626121521","6880","0.18960000574588776","2.283782720565796"
"sample_12000","finished","-","","","2025-09-06T17:51:12.000Z","52","","16","12000","0","6","0.0957999974489212","2.305652618408203","2.321535348892212","1128","0.10360000282526016","2.3055648803710938"
"sample_32000","finished","-","","","2025-09-06T18:44:47.000Z","106","","128","32000","0","6","0.11349999904632568","2.2970614433288574","2.290795087814331","3000","0.11020000278949738","2.2975313663482666"
"sample_40000","finished","-","","","2025-09-06T17:54:56.000Z","110","","16","40000","0","6","0.0957999974489212","2.2947089672088623","2.2972347736358643","3750","0.10360000282526016","2.2949254512786865"
"sample_32000","finished","-","","","2025-09-08T16:24:30.000Z","105","","32","32000","42","6","0.09799999743700027","2.2998437881469727","2.2898359298706055","3000","0.09640000015497208","2.2997372150421143"
"sample_8000","finished","-","","","2025-09-06T18:54:11.000Z","47","","256","8000","0","6","0.1031000018119812","2.302717685699463","2.2918851375579834","750","0.10279999673366548","2.303229570388794"
"sample_25000","finished","-","","","2025-09-08T16:22:57.000Z","87","","32","25000","42","6","0.09799999743700027","2.300795793533325","2.298102855682373","2346","0.09640000015497208","2.300692081451416"
"sample_40000","finished","-","","","2025-09-06T23:14:55.000Z","11081","","1024","40000","0","211","0.9664000272750854","0.11149925738573074","0.0857541412115097","131875","0.963599979877472","0.11738182604312895"
"sample_8000","finished","-","","","2025-09-08T18:31:19.000Z","340","","1024","8000","42","23","0.2962999939918518","2.2933261394500732","2.2932558059692383","2875","0.2863999903202057","2.293438673019409"
"sample_55000","finished","-","","","2025-09-08T16:01:47.000Z","232","","8","55000","42","9","0.11349999904632568","2.295293092727661","2.291931390762329","7740","0.1103999987244606","2.295947790145874"
"sample_25000","finished","-","","","2025-09-08T13:21:57.000Z","645","","1024","25000","1","25","0.36570000648498535","2.18636417388916","2.1808340549468994","9775","0.3716000020503998","2.1889476776123047"
"sample_8000","finished","-","","","2025-09-08T17:48:25.000Z","265","","512","8000","42","31","0.2574000060558319","2.2942581176757812","2.295698404312134","3875","0.25099998712539673","2.2939870357513428"
"sample_47000","finished","-","","","2025-09-07T17:19:06.000Z","245","","256","47000","1","9","0.15449999272823334","2.289557456970215","2.2876086235046387","6615","0.1449999958276749","2.2899208068847656"
"sample_55000","finished","-","","","2025-09-07T07:25:02.000Z","8749","","1024","55000","0","146","0.9681000113487244","0.11015130579471588","0.014805625192821026","125560","0.9639999866485596","0.11684910953044891"
"sample_40000","finished","-","","","2025-09-08T17:17:53.000Z","129","","128","40000","42","7","0.11349999904632568","2.2949488162994385","2.2995078563690186","4375","0.1103999987244606","2.2952754497528076"
"sample_55000","finished","-","","","2025-09-07T10:27:06.000Z","181","","32","55000","1","6","0.10279999673366548","2.2975807189941406","2.2990987300872803","5160","0.11100000143051147","2.297430992126465"
"sample_8000","finished","-","","","2025-09-06T19:14:39.000Z","57","","512","8000","0","6","0.10090000182390212","2.302077293395996","2.2993884086608887","750","0.0966000035405159","2.3025007247924805"
"sample_47000","finished","-","","","2025-09-07T17:41:27.000Z","236","","512","47000","1","7","0.14810000360012054","2.2867870330810547","2.2850656509399414","5145","0.14339999854564667","2.287137031555176"
