"Name","State","Created","Runtime","layer_structure","sample_size","seed","epoch","test_acc","test_loss","train_loss","trainer/global_step","valid_acc","valid_loss"
"sample_32000","finished","2025-09-13T11:20:29.000Z","191","128","32000","0","10","0.11349999904632568","2.29819917678833","2.2944703102111816","5000","0.11020000278949738","2.3000731468200684"
"sample_25000","finished","2025-09-13T11:17:47.000Z","157","128","25000","0","10","0.11349999904632568","2.2992963790893555","2.2960422039031982","3910","0.11020000278949738","2.3013458251953125"
"sample_12000","finished","2025-09-13T11:16:43.000Z","59","128","12000","0","6","0.09780000150203703","2.3027126789093018","2.2892627716064453","1128","0.09539999812841415","2.3051083087921143"
"sample_8000","finished","2025-09-13T11:15:50.000Z","48","128","8000","0","6","0.0982000008225441","2.303358316421509","2.297924041748047","750","0.09600000083446504","2.3057525157928467"
"sample_55000","finished","2025-09-13T11:12:42.000Z","182","64","55000","0","6","0.11349999904632568","2.2970783710479736","2.2946317195892334","5160","0.11020000278949738","2.297337055206299"
"sample_47000","finished","2025-09-13T11:09:53.000Z","164","64","47000","0","6","0.11349999904632568","2.2978250980377197","2.3123600482940674","4410","0.11020000278949738","2.2980499267578125"
"sample_40000","finished","2025-09-13T11:07:32.000Z","135","64","40000","0","6","0.11349999904632568","2.2984938621520996","2.305962562561035","3750","0.11020000278949738","2.2986083030700684"
"sample_32000","finished","2025-09-13T11:05:34.000Z","112","64","32000","0","6","0.11349999904632568","2.299168348312378","2.287895917892456","3000","0.11020000278949738","2.2992258071899414"
"sample_25000","finished","2025-09-13T11:03:38.000Z","111","64","25000","0","7","0.11349999904632568","2.2993671894073486","2.2934350967407227","2737","0.11020000278949738","2.299438714981079"
"sample_12000","finished","2025-09-13T11:02:08.000Z","85","64","12000","0","9","0.1160999983549118","2.300445318222046","2.3049774169921875","1692","0.11320000141859056","2.300339937210083"
"sample_8000","finished","2025-09-13T11:00:12.000Z","110","64","8000","0","15","0.1265999972820282","2.3002917766571045","2.310488224029541","1875","0.12479999661445618","2.300159454345703"
"sample_55000","finished","2025-09-13T10:56:30.000Z","217","32","55000","0","7","0.11349999904632568","2.299917221069336","2.305655002593994","6020","0.11020000278949738","2.301684856414795"
"sample_47000","finished","2025-09-13T10:53:04.000Z","200","32","47000","0","8","0.11349999904632568","2.300012588500977","2.306612253189087","5880","0.11020000278949738","2.301868200302124"
"sample_40000","finished","2025-09-13T10:50:05.000Z","173","32","40000","0","8","0.11349999904632568","2.300320863723755","2.3052291870117188","5000","0.11020000278949738","2.3022446632385254"
"sample_32000","finished","2025-09-13T10:47:35.000Z","144","32","32000","0","8","0.11349999904632568","2.300560712814331","2.295020341873169","4000","0.11020000278949738","2.3026607036590576"
"sample_25000","finished","2025-09-13T10:45:17.000Z","132","32","25000","0","9","0.11349999904632568","2.3007633686065674","2.290152072906494","3519","0.11020000278949738","2.3029842376708984"
"sample_12000","finished","2025-09-13T10:44:14.000Z","57","32","12000","0","6","0.06430000066757202","2.302076578140259","2.287364959716797","1128","0.06319999694824219","2.3045949935913086"
"sample_8000","finished","2025-09-13T10:43:21.000Z","48","32","8000","0","6","0.10080000013113022","2.3023581504821777","2.3073043823242188","750","0.09640000015497208","2.3048622608184814"
"sample_55000","finished","2025-09-13T10:39:56.000Z","200","16","55000","0","7","0.11349999904632568","2.3014721870422363","2.290227174758911","6020","0.11020000278949738","2.30007266998291"
"sample_47000","finished","2025-09-13T10:36:54.000Z","176","16","47000","0","7","0.11349999904632568","2.3019907474517822","2.3131935596466064","5145","0.11020000278949738","2.3003640174865723"
"sample_40000","finished","2025-09-13T10:33:54.000Z","175","16","40000","0","8","0.11349999904632568","2.3020987510681152","2.2996938228607178","5000","0.11020000278949738","2.3004183769226074"
"sample_32000","finished","2025-09-13T10:31:18.000Z","150","16","32000","0","8","0.11349999904632568","2.302816867828369","2.2863693237304688","4000","0.11020000278949738","2.300825357437134"
