"Name","State","Notes","User","Tags","Created","Runtime","Sweep","layer_structure","sample_size","seed","epoch","test_acc","test_loss","train_loss","trainer/global_step","valid_acc","valid_loss"
"sample_55000","finished","-","","","2025-07-08T15:07:19.000Z","319","","128","55000","42","15","0.22750000655651093","2.2707159519195557","2.2947752475738525","12900","0.2153999954462051","2.2719130516052246"
"sample_30000","finished","-","","","2025-07-08T15:03:59.000Z","194","","128","30000","42","15","0.11569999903440475","2.291618824005127","2.29669189453125","7035","0.11299999803304672","2.2923362255096436"
"sample_8500","finished","-","","","2025-07-08T15:02:33.000Z","80","","128","8500","42","15","0.11659999936819077","2.301367998123169","2.3051187992095947","1995","0.11379999667406082","2.3018782138824463"
"sample_500","finished","-","","","2025-07-08T15:01:48.000Z","39","","128","500","42","15","0.07090000063180923","2.305227279663086","2.3030219078063965","120","0.06599999964237213","2.3059170246124268"
"sample_55000","finished","-","","","2025-07-08T14:56:36.000Z","306","","64","55000","42","15","0.1136000007390976","2.290346145629883","2.310755491256714","12900","0.1103999987244606","2.290256977081299"
"sample_30000","finished","-","","","2025-07-08T14:53:25.000Z","185","","64","30000","42","15","0.1136000007390976","2.2966761589050293","2.30729341506958","7035","0.11060000211000444","2.2966573238372803"
"sample_8500","finished","-","","","2025-07-08T14:52:00.000Z","79","","64","8500","42","15","0.10100000351667404","2.3015122413635254","2.3032381534576416","1995","0.10620000213384628","2.3011698722839355"
"sample_500","finished","-","","","2025-07-08T14:51:17.000Z","38","","64","500","42","15","0.10100000351667404","2.3037350177764893","2.310915946960449","120","0.10620000213384628","2.3033735752105713"
"sample_55000","finished","-","","","2025-07-08T14:46:11.000Z","300","","32","55000","42","15","0.1137000024318695","2.2931315898895264","2.3191099166870117","12900","0.1103999987244606","2.2927305698394775"
"sample_30000","finished","-","","","2025-07-08T14:43:04.000Z","181","","32","30000","42","15","0.11349999904632568","2.297657012939453","2.31355357170105","7035","0.1103999987244606","2.297105312347412"
"sample_8500","finished","-","","","2025-07-08T14:41:42.000Z","76","","32","8500","42","15","0.12919999659061432","2.3022162914276123","2.3036539554595947","1995","0.1436000019311905","2.3010292053222656"
"sample_500","finished","-","","","2025-07-08T14:40:59.000Z","37","","32","500","42","15","0.10279999673366548","2.305448293685913","2.3246543407440186","120","0.11100000143051147","2.3040859699249268"
