"Name","State","Notes","User","Tags","Created","Runtime","Sweep","layer_structure","sample_size","seed","epoch","test_acc","test_loss","train_loss","trainer/global_step","valid_acc","valid_loss"
"sample_40000","finished","-","","","2025-09-09T02:12:26.000Z","2260","","16","40000","1","168","0.9222999811172484","0.2646653950214386","0.29990899562835693","105000","0.9204000234603882","0.27231964468955994"
"sample_12000","finished","-","","","2025-09-06T18:00:11.000Z","51","","16","12000","0","6","0.0828000009059906","2.297480821609497","2.2798304557800293","1128","0.08560000360012054","2.2991809844970703"
"sample_32000","finished","-","","","2025-09-06T23:05:45.000Z","290","","32","32000","0","16","0.375","1.825376033782959","1.7155834436416626","8000","0.3704000115394592","1.8251020908355713"
"sample_25000","finished","-","","","2025-09-08T17:09:02.000Z","5041","","1024","25000","0","225","0.945800006389618","0.1809171438217163","0.1451927125453949","87975","0.9448000192642212","0.18744345009326935"
"sample_32000","finished","-","","","2025-09-08T18:33:08.000Z","6680","","1024","32000","0","215","0.9528999924659728","0.15623052418231964","0.2084444910287857","107500","0.949400007724762","0.16455811262130737"
"sample_12000","finished","-","","","2025-09-12T16:05:51.000Z","1874","","64","12000","42","222","0.902999997138977","0.3398577868938446","0.4953060746192932","41736","0.892799973487854","0.37219467759132385"
"sample_25000","finished","-","","","2025-09-09T19:56:28.000Z","2762","","128","25000","1","296","0.9460999965667723","0.19017307460308075","0.06487691402435303","115736","0.9408000111579896","0.19822609424591064"
"sample_12000","finished","-","","","2025-09-09T12:58:29.000Z","51","","32","12000","1","6","0.0957999974489212","2.2971208095550537","2.300631046295166","1128","0.09920000284910202","2.297804832458496"
"sample_8000","finished","-","","","2025-09-06T17:59:24.000Z","41","","16","8000","0","6","0.08789999783039093","2.3023998737335205","2.288527488708496","750","0.09239999949932098","2.3038132190704346"
"sample_47000","finished","-","","","2025-09-07T03:36:25.000Z","2466","","64","47000","0","154","0.9459999799728394","0.18268711864948273","0.13552787899971008","113190","0.9472000002861024","0.18422305583953855"
"sample_8000","finished","-","","","2025-09-11T15:32:57.000Z","36","","8","8000","42","6","0.10279999673366548","2.3221120834350586","2.3194098472595215","750","0.11100000143051147","2.315818548202514"
"sample_40000","finished","-","","","2025-09-07T05:10:10.000Z","192","","128","40000","0","12","0.421099990606308","2.0674703121185303","2.051403522491455","7500","0.41760000586509705","2.065506935119629"
"sample_47000","finished","-","","","2025-09-09T15:08:43.000Z","3796","","32","47000","1","183","0.9441999793052672","0.18660415709018707","0.014876559376716614","134505","0.940400004386902","0.19345000386238095"
"sample_12000","finished","-","","","2025-09-09T19:04:01.000Z","59","","64","12000","1","11","0.18799999356269836","2.291672468185425","2.2840073108673096","2068","0.18140000104904175","2.2903051376342773"
"sample_47000","finished","-","","","2025-09-09T11:05:11.000Z","3189","","16","47000","1","180","0.9301999807357788","0.23335526883602145","0.023429566994309425","132300","0.929199993610382","0.24345429241657257"
"sample_8000","finished","-","","","2025-09-09T12:57:42.000Z","42","","32","8000","1","6","0.0957999974489212","2.299905776977539","2.318467140197754","750","0.09920000284910202","2.3006651401519775"
"sample_25000","finished","-","","","2025-09-12T16:37:10.000Z","1762","","64","25000","42","160","0.9178000092506408","0.2841317355632782","0.24265070259571075","62560","0.9100000262260436","0.3117442727088928"
"sample_47000","finished","-","","","2025-09-13T01:53:49.000Z","3679","","512","47000","42","170","0.958299994468689","0.14269426465034485","0.04021700844168663","124950","0.9516000151634216","0.16549909114837646"
"sample_32000","finished","-","","","2025-09-11T15:39:23.000Z","312","","8","32000","42","21","0.22030000388622284","2.0332584381103516","2.080015182495117","10500","0.2078000009059906","2.036470413208008"
"sample_8000","finished","-","","","2025-09-09T23:50:07.000Z","1259","","256","8000","1","246","0.8939999938011169","0.3650155067443848","0.4351169764995575","30750","0.8930000066757202","0.3735813498497009"
"sample_12000","finished","-","","","2025-09-10T22:39:02.000Z","338","","1024","12000","1","21","0.6319000124931335","2.198409080505371","2.197068452835083","3948","0.6176000237464905","2.201155185699463"
"sample_40000","finished","-","","","2025-09-07T15:14:33.000Z","4021","","512","40000","0","183","0.954200029373169","0.15440283715724945","0.11914663016796112","114375","0.9485999941825868","0.16358283162117004"
"sample_12000","finished","-","","","2025-09-10T00:11:09.000Z","1916","","256","12000","1","237","0.9093000292778016","0.308676153421402","0.31198564171791077","44556","0.9092000126838684","0.31719040870666504"
"sample_25000","finished","-","","","2025-09-10T00:43:11.000Z","3007","","256","25000","1","213","0.9373999834060668","0.21428491175174713","0.1136302575469017","83283","0.9332000017166138","0.2205919474363327"
"sample_40000","finished","-","","","2025-09-12T19:45:40.000Z","1590","","64","40000","42","118","0.925599992275238","0.2605847120285034","0.4049311876296997","73750","0.9190000295639038","0.2841316759586334"
"sample_47000","finished","-","","","2025-09-08T23:17:04.000Z","2680","","1024","47000","0","110","0.9456999897956848","0.1856234669685364","0.17791394889354706","80850","0.9444000124931335","0.1917879432439804"
"sample_12000","finished","-","","","2025-09-13T11:13:46.000Z","2004","","512","12000","42","222","0.9132000207901","0.30325302481651306","0.4306495785713196","41736","0.9020000100135804","0.33582475781440735"
"sample_40000","finished","-","","","2025-09-07T10:19:03.000Z","3233","","256","40000","0","163","0.9469000101089478","0.1838320642709732","0.1264028698205948","101875","0.9444000124931335","0.1880085915327072"
"sample_47000","finished","-","","","2025-09-12T20:12:16.000Z","3312","","64","47000","42","195","0.9524999856948853","0.16590440273284912","0.05684034526348114","143325","0.9472000002861024","0.1891636997461319"
"sample_25000","finished","-","","","2025-09-06T17:41:21.000Z","197","","8","25000","0","19","0.2467000037431717","2.2140824794769287","2.2022037506103516","7429","0.241799995303154","2.2158608436584473"
"sample_40000","finished","-","","","2025-09-09T14:37:25.000Z","1872","","32","40000","1","105","0.9194999933242798","0.27548253536224365","0.2846396863460541","65625","0.9160000085830688","0.28407254815101624"
"sample_25000","finished","-","","","2025-09-09T13:28:04.000Z","1585","","32","25000","1","159","0.9175999760627748","0.28549179434776306","0.2353723645210266","62169","0.9142000079154968","0.2914177477359772"
"sample_12000","finished","-","","","2025-09-12T10:12:34.000Z","293","","32","12000","42","40","0.4259999990463257","2.197770595550537","2.2131881713867188","7520","0.4300000071525574","2.1973111629486084"
"sample_12000","finished","-","","","2025-09-07T08:39:03.000Z","289","","256","12000","0","41","0.45239999890327454","2.076135635375977","2.0642459392547607","7708","0.4514000117778778","2.0778865814208984"
"sample_8000","finished","-","","","2025-09-07T08:33:43.000Z","316","","256","8000","0","60","0.5184000134468079","2.104729413986206","2.1272988319396973","7500","0.521399974822998","2.106430768966675"
"sample_32000","finished","-","","","2025-09-07T14:14:10.000Z","3618","","512","32000","0","183","0.9452999830245972","0.184576615691185","0.2516306936740875","91500","0.9435999989509584","0.19202542304992676"
"sample_47000","finished","-","","","2025-09-07T16:21:40.000Z","5147","","512","47000","0","182","0.9595999717712402","0.13505499064922333","0.12998515367507937","133770","0.9538000226020812","0.14457322657108307"
"sample_32000","finished","-","","","2025-09-07T02:46:16.000Z","227","","64","32000","0","20","0.5120999813079834","1.8153733015060425","1.6951704025268557","10000","0.5037999749183655","1.818263292312622"
