"Name","State","Notes","User","Tags","Created","Runtime","Sweep","layer_structure","sample_size","seed","epoch","test_acc","test_loss","train_loss","trainer/global_step","valid_acc","valid_loss"
"sample_55000","finished","-","","","2025-09-13T02:09:54.000Z","5862","","1024","55000","42","166","0.963699996471405","0.12123356759548189","0.10671230405569077","142760","0.9570000171661376","0.14370495080947876"
"sample_47000","finished","-","","","2025-09-12T20:35:54.000Z","7887","","1024","47000","42","187","0.9613999724388124","0.12708155810832977","0.03639424219727516","137445","0.9556000232696532","0.15127162635326383"
"sample_40000","finished","-","","","2025-09-12T19:14:00.000Z","4910","","1024","40000","42","141","0.94650000333786","0.18384039402008057","0.2818973660469055","88125","0.9391999840736388","0.2073617726564407"
"sample_32000","finished","-","","","2025-09-12T14:09:43.000Z","7751","","1024","32000","42","191","0.9478999972343444","0.1762317717075348","0.20589128136634827","95500","0.9405999779701232","0.2008434981107712"
"sample_25000","finished","-","","","2025-09-12T12:52:34.000Z","4623","","1024","25000","42","157","0.9316999912261964","0.2363947480916977","0.08295215666294098","61387","0.9211999773979188","0.2628043293952942"
"sample_12000","finished","-","","","2025-09-12T12:05:09.000Z","2840","","1024","12000","42","177","0.9070000052452089","0.3221219480037689","0.4100661277770996","33276","0.8992000222206116","0.3511626124382019"
"sample_8000","finished","-","","","2025-09-12T11:24:19.000Z","2446","","1024","8000","42","212","0.8945000171661377","0.3588498830795288","0.33155080676078796","26500","0.8877999782562256","0.3862877488136291"
"sample_55000","finished","-","","","2025-09-12T07:01:20.000Z","10836","","1024","55000","1","218","0.9696999788284302","0.09864453971385956","0.05961770936846733","187480","0.9648000001907348","0.11286816745996477"
"sample_47000","finished","-","","","2025-09-11T20:13:58.000Z","12561","","1024","47000","1","275","0.9706000089645386","0.0964723601937294","0.0027630541007965803","202125","0.9678000211715698","0.10637167096138"
"sample_40000","finished","-","","","2025-09-11T10:19:32.000Z","5482","","1024","40000","1","131","0.9473000168800354","0.18597035109996796","0.1987410932779312","81875","0.9398000240325928","0.19819362461566925"
"sample_32000","finished","-","","","2025-09-11T08:03:23.000Z","8164","","1024","32000","1","261","0.9599000215530396","0.1343144327402115","0.0866435319185257","130500","0.9553999900817872","0.15269987285137177"
"sample_25000","finished","-","","","2025-09-10T21:12:58.000Z","5732","","1024","25000","1","191","0.9437999725341796","0.20477311313152313","0.08164235204458237","74681","0.9350000023841858","0.21559131145477295"
"sample_12000","finished","-","","","2025-09-10T21:06:40.000Z","375","","1024","12000","1","23","0.5870000123977661","2.1718571186065674","2.1794121265411377","4324","0.5730000138282776","2.1758840084075928"
"sample_8000","finished","-","","","2025-09-10T21:00:24.000Z","373","","1024","8000","1","30","0.5706999897956848","2.2088215351104736","2.204911708831787","3750","0.5547999739646912","2.2120115756988525"
"sample_55000","finished","-","","","2025-09-09T13:23:39.000Z","5200","","1024","55000","0","120","0.955299973487854","0.1499219685792923","0.03773946315050125","103200","0.9506000280380248","0.1589793562889099"
"sample_47000","finished","-","","","2025-09-09T11:03:24.000Z","4446","","1024","47000","0","115","0.9488000273704528","0.1760030835866928","0.1586650162935257","84525","0.9452000260353088","0.18333382904529572"
"sample_40000","finished","-","","","2025-09-09T01:06:35.000Z","6221","","1024","40000","0","156","0.9520999789237976","0.16122780740261078","0.1265147179365158","97500","0.9472000002861024","0.1691955924034119"
"sample_32000","finished","-","","","2025-09-08T23:49:52.000Z","4598","","1024","32000","0","147","0.9415000081062316","0.19926203787326813","0.2531701922416687","73500","0.9391999840736388","0.2052897959947586"
"sample_25000","finished","-","","","2025-09-08T22:25:26.000Z","5062","","1024","25000","0","213","0.9459999799728394","0.18344782292842865","0.065728560090065","83283","0.9453999996185304","0.1893861293792725"
"sample_12000","finished","-","","","2025-09-08T19:48:56.000Z","2628","","1024","12000","0","167","0.907800018787384","0.320462703704834","0.3215940594673157","31396","0.9039999842643738","0.32859498262405396"
"sample_8000","finished","-","","","2025-09-08T18:59:02.000Z","2988","","1024","8000","0","258","0.9053000211715698","0.3226476311683655","0.2288687229156494","32250","0.9067999720573424","0.32799121737480164"
"sample_55000","finished","-","","","2025-09-13T04:14:09.000Z","3637","","512","55000","42","155","0.9555000066757202","0.14438913762569427","0.0945202186703682","133300","0.9513999819755554","0.16361330449581146"
"sample_47000","finished","-","","","2025-09-13T03:09:36.000Z","3868","","512","47000","42","162","0.9524000287055968","0.15939664840698242","0.0785394087433815","119070","0.9462000131607056","0.18027283251285553"
"sample_40000","finished","-","","","2025-09-13T02:11:49.000Z","3461","","512","40000","42","186","0.9492999911308287","0.1649623066186905","0.2273222059011459","116250","0.9449999928474426","0.18433032929897308"
