run_id,run_name,sample_size,layer_structure,rank_0,rank_1,rank_2,rank_3,rank_4,weight_mean_0,weight_mean_1,weight_mean_2,weight_mean_3,weight_mean_4,weight_std_0,weight_std_1,weight_std_2,weight_std_3,weight_std_4,activation_mean_global,activation_std_global,pca_explained_var
l3jhl1d1,sample_40000,1000,"(1024, 1024, 1024, 1024)",784,1023,1024,1023,10,0.00039411386,0.0006299688,0.00055913645,0.00044199644,0.00039448246,0.02116165,0.018517986,0.018528048,0.018523995,0.046735678,0.19024625420570374,0.15782427787780762,0.3014216
j3pkg2ej,sample_47000,1000,"(1024, 1024, 1024, 1024)",784,1023,1023,1023,10,0.0003918735,0.0006262595,0.000559333,0.00044249048,0.00039448068,0.021164062,0.018520132,0.018529965,0.01852583,0.04680806,0.19027745723724365,0.15803101658821106,0.3013422
zk169z3v,sample_55000,1000,"(1024, 1024, 1024, 1024)",784,1023,1024,1023,10,0.00039934253,0.00062363205,0.000553409,0.00043683976,0.00039445347,0.021138689,0.018498294,0.018508336,0.018504238,0.045923438,0.1906706988811493,0.15772795677185059,0.30635986
478u0oj5,sample_8000,1000,"(8, 8, 8, 8)",8,8,8,8,8,-0.00012708065,0.02251086,0.019646265,-0.03755371,0.015283567,0.020661324,0.19187804,0.19658875,0.19373882,0.18472311,0.05713135749101639,0.07074365019798279,0.6095728
cidnb1xl,sample_12000,1000,"(8, 8, 8, 8)",8,8,8,8,8,-0.00012663328,0.02251136,0.019653115,-0.037577134,0.015283564,0.020661267,0.19187725,0.19658804,0.19374557,0.18470643,0.057014551013708115,0.07078036665916443,0.60711354
ar003wcd,sample_25000,1000,"(8, 8, 8, 8)",8,8,8,8,8,-0.00012365908,0.022515208,0.019671198,-0.03764849,0.01528356,0.020661358,0.19187737,0.19659144,0.19377117,0.1846625,0.05698426067829132,0.07107098400592804,0.60003936
hftlfsdc,sample_32000,1000,"(8, 8, 8, 8)",8,8,8,8,8,-0.00012207904,0.022516333,0.019679703,-0.037682,0.015283564,0.020661369,0.1918772,0.19659244,0.19378161,0.18464178,0.05693548172712326,0.07124540209770203,0.595446
el1xxdqc,sample_40000,1000,"(8, 8, 8, 8)",8,8,8,8,8,-0.00011953584,0.022518588,0.019690229,-0.037730895,0.01528356,0.020661518,0.19187829,0.19659384,0.19379261,0.1846136,0.05700935423374176,0.07150670886039734,0.5906603
ux1c6rn0,sample_47000,1000,"(8, 8, 8, 8)",8,8,8,8,8,-0.000117164294,0.022520512,0.01970047,-0.037764203,0.01528356,0.020661687,0.19187959,0.19659445,0.19380373,0.1845941,0.05711115896701813,0.07175125181674957,0.58651036
mzd3ogi9,sample_55000,1000,"(8, 8, 8, 8)",8,8,8,8,8,-0.000114237475,0.022522585,0.019713655,-0.037817158,0.01528356,0.020661881,0.19188112,0.19659634,0.19381909,0.18456557,0.05723939463496208,0.07206697762012482,0.58109033
2tt1djna,sample_8000,1000,"(16, 16, 16, 16)",16,16,16,16,10,-0.00010493289,0.008561647,0.0076245684,0.013439793,-0.0057288115,0.020657048,0.14131746,0.1484786,0.15227579,0.1379686,0.05737975239753723,0.06476905941963196,0.4403865
egg6rp7v,sample_12000,1000,"(16, 16, 16, 16)",16,16,16,16,10,-0.00010613075,0.008559022,0.007620873,0.013433763,-0.005728812,0.020656887,0.14131647,0.14847772,0.15227431,0.1379649,0.057247377932071686,0.06461382657289505,0.43999383
uejq1hjb,sample_25000,1000,"(16, 16, 16, 16)",16,16,16,16,10,-0.00010943449,0.008551696,0.0076101045,0.013418255,-0.0057288124,0.020656485,0.14131407,0.14847465,0.15226915,0.13795458,0.056933045387268066,0.06417511403560638,0.43963552
x72sqmq8,sample_32000,1000,"(16, 16, 16, 16)",16,16,16,16,10,-0.000111059875,0.00854836,0.0076057008,0.013409795,-0.00572881,0.020656316,0.14131308,0.14847384,0.1522677,0.13794987,0.05680951103568077,0.06396102160215378,0.43974328
ndj0fds5,sample_40000,1000,"(16, 16, 16, 16)",16,16,16,16,10,-0.00011263843,0.008544786,0.0075995764,0.013397803,-0.005728811,0.020656168,0.14131221,0.14847246,0.15226531,0.13794282,0.05670543015003204,0.06375476717948914,0.4401002
ib2grjd0,sample_47000,1000,"(16, 16, 16, 16)",16,16,16,16,10,-0.00011375147,0.008542433,0.0075968653,0.013390113,-0.0057288087,0.020656085,0.14131175,0.1484723,0.15226482,0.13794033,0.05666586756706238,0.06361085176467896,0.4403128
tnh1ahcx,sample_55000,1000,"(16, 16, 16, 16)",16,16,16,16,10,-0.000115077884,0.008538575,0.007591583,0.013380332,-0.0057288073,0.020655988,0.14131127,0.14847049,0.15226175,0.13793461,0.05658657103776932,0.0634535551071167,0.440473
2da1l6ps,sample_8000,1000,"(32, 32, 32, 32)",32,32,32,32,10,-1.0676856e-05,0.0034377773,-0.00082007074,-0.0017129079,-0.004342607,0.020646272,0.0991511,0.10523166,0.10202614,0.102358446,0.07094042748212814,0.07241921126842499,0.3155239
vdjy34fo,sample_12000,1000,"(32, 32, 32, 32)",32,32,32,32,10,-1.0691971e-05,0.0034373472,-0.00081995456,-0.0017120845,-0.004342606,0.020646282,0.099151194,0.10523149,0.10202617,0.1023603,0.07092255353927612,0.07240820676088333,0.31564066
z3f1yenv,sample_25000,1000,"(32, 32, 32, 32)",32,32,32,32,10,-1.0058564e-05,0.003436467,-0.0008181827,-0.0017090114,-0.004342601,0.020646367,0.099151745,0.1052313,0.10202708,0.10236775,0.07096284627914429,0.07243718206882477,0.31631458
at5qajf8,sample_32000,1000,"(32, 32, 32, 32)",32,32,32,32,10,-9.919151e-06,0.0034357377,-0.0008176989,-0.0017089242,-0.0043426002,0.020646412,0.099152036,0.10523112,0.10202729,0.10236906,0.07095988094806671,0.0724446177482605,0.31659502
h78d9ltf,sample_40000,1000,"(32, 32, 32, 32)",32,32,32,32,10,-9.461368e-06,0.0034356092,-0.0008172651,-0.0017076833,-0.0043425984,0.020646472,0.099152416,0.10523111,0.10202747,0.10237176,0.07101540267467499,0.07247695326805115,0.31686842
vsnzb25k,sample_47000,1000,"(32, 32, 32, 32)",32,32,32,32,10,-8.923982e-06,0.003435283,-0.00081629574,-0.0017073513,-0.0043425974,0.020646553,0.0991529,0.10523108,0.102028064,0.102373675,0.07108410447835922,0.07252198457717896,0.31741548
cwm4noye,sample_55000,1000,"(32, 32, 32, 32)",32,32,32,32,10,-8.0064665e-06,0.0034353058,-0.00081457733,-0.0017058915,-0.0043425965,0.020646678,0.099153586,0.10523131,0.10202917,0.102377154,0.07119962573051453,0.07260842621326447,0.3177272
6z8czbc8,sample_8000,1000,"(64, 64, 64, 64)",64,64,64,64,10,4.6473608e-05,0.00061308325,0.0013827176,-0.0006788791,0.00021044053,0.020620106,0.072284915,0.07175817,0.07223572,0.07072274,0.08384895324707031,0.08041613548994064,0.23900668
0fjtdhk7,sample_12000,1000,"(64, 64, 64, 64)",64,64,64,64,10,4.8392438e-05,0.0006141826,0.0013840119,-0.00067751243,0.00021044146,0.020620273,0.07228553,0.0717589,0.072236404,0.070728995,0.08423013985157013,0.08059062063694,0.23984101
c2oow0m7,sample_25000,1000,"(64, 64, 64, 64)",64,64,64,64,10,5.2908763e-05,0.0006170713,0.0013879158,-0.00067832955,0.00021044519,0.02062095,0.072287895,0.071761556,0.072239205,0.07074408,0.08524466305971146,0.08107851445674896,0.24205583
plpccnac,sample_32000,1000,"(64, 64, 64, 64)",64,64,64,64,10,5.535634e-05,0.00061777316,0.001390024,-0.00067821,0.00021044184,0.020621354,0.07228932,0.071762726,0.07224033,0.070752054,0.08577363193035126,0.08134625852108002,0.24348521
w9cukoqy,sample_40000,1000,"(64, 64, 64, 64)",64,64,64,64,10,5.5177337e-05,0.0006174894,0.0013899141,-0.00067713915,0.0002104463,0.020621339,0.07228925,0.071762696,0.072240196,0.07075121,0.08571124821901321,0.08134153485298157,0.24350363
lsarv3y9,sample_47000,1000,"(64, 64, 64, 64)",64,64,64,64,10,6.123788e-05,0.0006200078,0.0013966575,-0.00067662913,0.00021044724,0.020622434,0.07229312,0.071766496,0.07224401,0.070777036,0.08708710968494415,0.08204282820224762,0.24780291
