run_id,run_name,sample_size,layer_structure,temp,rank_0,rank_1,rank_2,rank_3,rank_4,weight_mean_0,weight_mean_1,weight_mean_2,weight_mean_3,weight_mean_4,weight_std_0,weight_std_1,weight_std_2,weight_std_3,weight_std_4,activation_mean_global,activation_std_global,pca_explained_var
zjjbyndp,sample_40000,1000,"(8, 8, 8)",8,8,8,8,8,8,-8.823074e-05,0.02960568,-0.06629964,0.00504099,-0.04115229,0.020612435,0.1973669,0.20558912,0.187332,0.21153818,0.08270524442195892,0.0524856373667717,0.7905093
wz8i62oc,sample_47000,1000,"(8, 8, 8)",8,8,8,8,8,8,-8.823074e-05,0.02958019,-0.06626834,0.0050452426,-0.0411523,0.020612435,0.19738571,0.20559424,0.18732889,0.21155232,0.0827130600810051,0.052517689764499664,0.79055154
kbnylpjh,sample_55000,1000,"(8, 8, 8)",8,8,8,8,8,8,-8.823074e-05,0.029618818,-0.06632304,0.0050494736,-0.04115228,0.020612435,0.19735904,0.20558748,0.18732391,0.21156447,0.08273930847644806,0.0524774044752121,0.7905013
6a503nun,sample_8000,1000,"(16, 16, 16)",16,16,16,16,16,10,-9.473012e-05,-0.013578232,-0.010182025,-0.006113636,0.0023302957,0.020618157,0.14413285,0.14423302,0.1515728,0.13889198,0.07979483902454376,0.04588880389928818,0.5498452
hi1wsx9t,sample_12000,1000,"(16, 16, 16)",16,16,16,16,16,10,-9.473012e-05,-0.013578812,-0.010181664,-0.0061186934,0.0023302971,0.020618157,0.14413325,0.14423327,0.15157484,0.13888586,0.07979373633861542,0.04589086025953293,0.5498398
n7xsjhih,sample_25000,1000,"(16, 16, 16)",16,16,16,16,16,10,-9.473012e-05,-0.013580215,-0.010185022,-0.0061389282,0.0023303046,0.020618157,0.14413524,0.1442342,0.15157992,0.13886553,0.07978680729866028,0.045895710587501526,0.54986346
qhz05iho,sample_32000,1000,"(16, 16, 16)",16,16,16,16,16,10,-9.473012e-05,-0.013580751,-0.010186104,-0.0061466475,0.0023303083,0.020618157,0.14413624,0.14423503,0.15158282,0.13885804,0.0797889232635498,0.045899905264377594,0.54985917
15xnugsk,sample_40000,1000,"(16, 16, 16)",16,16,16,16,16,10,-9.473012e-05,-0.013581821,-0.010188988,-0.0061615733,0.0023303106,0.020618157,0.14413732,0.144236,0.1515849,0.13884623,0.07979393005371094,0.04590536653995514,0.5498595
gih9nfrx,sample_47000,1000,"(16, 16, 16)",16,16,16,16,16,10,-9.473012e-05,-0.013582495,-0.010191747,-0.006174974,0.0023303167,0.020618157,0.14413843,0.1442367,0.1515859,0.13883749,0.07979478687047958,0.04591159150004387,0.549842
xvo4113o,sample_55000,1000,"(16, 16, 16)",16,16,16,16,16,10,-9.473012e-05,-0.013583355,-0.010194746,-0.0061868764,0.0023303211,0.020618157,0.14413933,0.1442373,0.15158819,0.13882929,0.07979802787303925,0.04591788351535797,0.5498307
u151wihy,sample_8000,1000,"(32, 32, 32)",32,32,32,32,32,10,-2.2768503e-05,-0.005614565,0.0016724588,0.00028410222,-0.0014526579,0.020624597,0.10233299,0.10010859,0.101233214,0.10090652,0.054377079010009766,0.04643317312002182,0.41672868
12cynkwt,sample_12000,1000,"(32, 32, 32)",32,32,32,32,32,10,-2.2768503e-05,-0.005611467,0.0017682691,0.00029447227,-0.0014526534,0.020624597,0.102380596,0.10017176,0.1013175,0.101192385,0.05511359125375748,0.04668821394443512,0.41887164
oenm4pqh,sample_25000,1000,"(32, 32, 32)",32,32,32,32,32,10,-2.2768503e-05,-0.0056116497,0.0017320804,0.00030395837,-0.0014526623,0.020624597,0.102363676,0.10014883,0.10128897,0.10110751,0.05490046739578247,0.046625830233097076,0.41748568
wrhorhul,sample_32000,1000,"(32, 32, 32)",32,32,32,32,32,10,-2.2768503e-05,-0.005617846,0.0016035952,0.0002614368,-0.0014526648,0.020624597,0.10231521,0.10008461,0.10119084,0.10075269,0.05414381995797157,0.046373073011636734,0.415775
wepct8xa,sample_40000,1000,"(32, 32, 32)",32,32,32,32,32,10,-2.2768503e-05,-0.005611521,0.0017351778,0.00030313752,-0.0014526577,0.020624597,0.10236434,0.10014939,0.10129326,0.101115435,0.054886527359485626,0.04662799462676048,0.41724664
tekfq5oa,sample_47000,1000,"(32, 32, 32)",32,32,32,32,32,10,-2.2768503e-05,-0.0056129065,0.0017200757,0.00029827742,-0.0014526667,0.020624597,0.10235297,0.10013443,0.10127618,0.1010573,0.054702289402484894,0.04656120389699936,0.41681498
eoo1mtbu,sample_55000,1000,"(32, 32, 32)",32,32,32,32,32,10,-2.2768503e-05,-0.005613036,0.0017138161,0.0002969695,-0.0014526636,0.020624597,0.102349326,0.10012962,0.101269454,0.10103427,0.05464901775121689,0.046540725976228714,0.4166609
nb872abi,sample_8000,1000,"(64, 64, 64)",64,64,64,64,64,10,6.376976e-05,-0.00083329115,0.00059592247,-0.0007130535,-0.0010954111,0.020640908,0.07158596,0.07280572,0.072083995,0.070317514,0.05512663722038269,0.04677271097898483,0.25870267
4j81u18l,sample_12000,1000,"(64, 64, 64)",64,64,64,64,64,10,6.376976e-05,-0.0008331895,0.00059612154,-0.00071388064,-0.0010954121,0.020640908,0.07158612,0.07280586,0.07208405,0.0703152,0.055134765803813934,0.04677508771419525,0.25872856
743x1hqd,sample_25000,1000,"(64, 64, 64)",64,64,64,64,64,10,6.376976e-05,-0.0008329029,0.0005959219,-0.0007162923,-0.0010954116,0.020640908,0.071586534,0.07280618,0.07208406,0.07030867,0.05514196306467056,0.04677911475300789,0.25877157
6ntqzpat,sample_32000,1000,"(64, 64, 64)",64,64,64,64,64,10,6.376976e-05,-0.0008327019,0.0005960611,-0.0007175477,-0.001095411,0.020640908,0.07158682,0.07280641,0.07208417,0.070305936,0.05515148863196373,0.04678276553750038,0.25880504
ixuloh10,sample_40000,1000,"(64, 64, 64)",64,64,64,64,64,10,6.376976e-05,-0.0008325279,0.00059595826,-0.00071874564,-0.0010954108,0.020640908,0.0715871,0.07280663,0.07208419,0.0703036,0.055161792784929276,0.046786487102508545,0.25885895
3pjg4jq2,sample_47000,1000,"(64, 64, 64)",64,64,64,64,64,10,6.376976e-05,-0.00083237863,0.00059593556,-0.000720331,-0.0010954097,0.020640908,0.071587466,0.0728069,0.072084196,0.0702997,0.05517256259918213,0.046790711581707,0.25891533
l97wgkzx,sample_55000,1000,"(64, 64, 64)",64,64,64,64,64,10,6.376976e-05,-0.00083223195,0.0005958616,-0.00072178687,-0.0010954085,0.020640908,0.07158786,0.07280724,0.0720843,0.07029683,0.0551837757229805,0.04679512977600098,0.25897062
35l4bpkf,sample_8000,1000,"(128, 128, 128)",128,128,128,128,128,10,7.1215385e-05,-0.00016417178,0.00010496732,0.0004818206,0.00046744896,0.020637175,0.051051244,0.051019825,0.05116159,0.05053221,0.047175586223602295,0.0448768213391304,0.19468598
jpliquha,sample_12000,1000,"(128, 128, 128)",128,128,128,128,128,10,7.1215385e-05,-0.00016408006,0.00010501621,0.000481988,0.00046744943,0.020637175,0.051051334,0.051019907,0.051161613,0.05053291,0.04718426242470741,0.04488104581832886,0.19469312
uwxgli2i,sample_25000,1000,"(128, 128, 128)",128,128,128,128,128,10,7.1215385e-05,-0.00016008245,0.00011333998,0.00049006817,0.00046745624,0.020637175,0.051056378,0.051025026,0.0511648,0.05060752,0.04765274003148079,0.04510962963104248,0.1952672
wemw7pbi,sample_32000,1000,"(128, 128, 128)",128,128,128,128,128,10,7.1215385e-05,-0.00016001542,0.00011414246,0.0004902074,0.00046745472,0.020637175,0.05105686,0.051025495,0.051165197,0.05061248,0.04768906533718109,0.045127857476472855,0.19535124
znj86df4,sample_40000,1000,"(128, 128, 128)",128,128,128,128,128,10,7.1215385e-05,-0.00016126844,0.0001108445,0.0004884099,0.0004674538,0.020637175,0.051054966,0.05102359,0.051163767,0.050587434,0.04753189533948898,0.045048657804727554,0.19508815
0grc13ro,sample_47000,1000,"(128, 128, 128)",128,128,128,128,128,10,7.1215385e-05,-0.00016051187,0.00011328768,0.00048985303,0.00046745437,0.020637175,0.05105601,0.051024675,0.0511646,0.050602775,0.04762949049472809,0.04509542137384415,0.19525212
xrshgdrv,sample_55000,1000,"(128, 128, 128)",128,128,128,128,128,10,7.1215385e-05,-0.00015973805,0.00011567421,0.00049141946,0.00046745577,0.020637175,0.051057182,0.051025886,0.051165543,0.05062113,0.04772951453924179,0.04514428228139877,0.19544023
6dx81zao,sample_8000,1000,"(256, 256, 256)",256,256,256,256,256,10,4.582098e-05,0.000120456025,0.00010915045,1.8497842e-05,0.00021031359,0.020626582,0.03612003,0.036086503,0.036084704,0.0359532,0.051130056381225586,0.05080954357981682,0.17942695
ir830e6a,sample_12000,1000,"(256, 256, 256)",256,256,256,256,256,10,4.582098e-05,0.00019940056,0.0004778929,0.00021929762,0.00021033114,0.020626582,0.036268193,0.03623912,0.036250025,0.040362895,0.07346917688846588,0.06164098531007767,0.29972625
lv978vzl,sample_25000,1000,"(256, 256, 256)",256,256,256,256,256,10,4.582098e-05,0.000118913245,0.000102408994,1.6673308e-05,0.00021031332,0.020626582,0.036118306,0.036084715,0.036082745,0.03590472,0.050757646560668945,0.05066031217575073,0.17745726
3bs5vqv5,sample_32000,1000,"(256, 256, 256)",256,256,256,256,256,10,4.582098e-05,0.000119221484,0.00010392458,1.6938317e-05,0.00021031397,0.020626582,0.036118716,0.036085136,0.036083214,0.03591612,0.05084297060966492,0.05069681257009506,0.17796761
iiaga2e9,sample_40000,1000,"(256, 256, 256)",256,256,256,256,256,10,4.582098e-05,0.000119430464,0.00010483877,1.7440416e-05,0.00021031425,0.020626582,0.036118954,0.03608538,0.03608348,0.03592347,0.05089271813631058,0.05071602016687393,0.1782318
utkgue07,sample_47000,1000,"(256, 256, 256)",256,256,256,256,256,10,4.582098e-05,0.00012032092,0.000108981345,1.8747378e-05,0.00021031543,0.020626582,0.03612008,0.036086544,0.03608477,0.035956405,0.05112694203853607,0.05081244558095932,0.17959434
8g0w4utp,sample_55000,1000,"(256, 256, 256)",256,256,256,256,256,10,4.582098e-05,0.00011989605,0.000107130974,1.8210456e-05,0.00021031387,0.020626582,0.036119558,0.036086,0.036084197,0.035941083,0.0510215237736702,0.05076848715543747,0.17897709
mn7v1tti,sample_8000,1000,"(512, 512, 512)",512,512,512,512,512,10,-1.44206915e-05,-1.2954559e-05,-9.949334e-06,-2.4047968e-05,-3.5208395e-05,0.020624757,0.025541281,0.025492476,0.025511675,0.025363872,0.048422154039144516,0.05048591271042824,0.17172205
58dkfm1d,sample_12000,1000,"(512, 512, 512)",512,512,512,512,511,10,-1.44206915e-05,-5.8497653e-06,0.00019192704,0.00010911171,-3.5195175e-05,0.020624757,0.025587292,0.025538918,0.025561566,0.02804786,0.06659708172082901,0.060230351984500885,0.27760205
