run_id,run_name,test_accuracy,sample_size,layer_structure,rank_0,rank_1,rank_2,rank_3,weight_mean_0,weight_mean_1,weight_mean_2,weight_mean_3,weight_std_0,weight_std_1,weight_std_2,weight_std_3,activation_mean_global,activation_std_global,pca_explained_var
ls2aq97z,sample_25000,0.4117000102996826,1000,"(128, 128, 128)",128,128,128,10,0.00020140881,0.00035054563,0.0009900325,-0.00063970085,0.020623624,0.0513209,0.05099358,0.051979296,0.12026643753051758,0.10761912912130356,0.33998877
0yhabf3i,sample_32000,0.6172999739646912,1000,"(128, 128, 128)",128,128,128,10,0.0010330871,0.0018861527,0.0023039845,-0.0006396958,0.021024374,0.052344307,0.05203471,0.06485043,0.3213348090648651,0.21894729137420654,0.61852145
u3dbqdud,sample_40000,0.7685999870300293,1000,"(128, 128, 128)",128,128,128,10,0.0015777204,0.0032119714,0.0033378864,-0.00063968776,0.021528414,0.053613994,0.053334307,0.077895306,0.4652210474014282,0.2966829240322113,0.6106271
nnidb8e6,sample_47000,0.8179000020027161,1000,"(128, 128, 128)",128,128,128,10,0.0018495452,0.0038995147,0.00384725,-0.0006396815,0.021887032,0.054509684,0.05425247,0.08597217,0.5364881157875061,0.3359653353691101,0.57579005
v3ytnwym,sample_55000,0.8442999720573425,1000,"(128, 128, 128)",128,128,128,10,0.002017921,0.00433895,0.0041726306,-0.0006396691,0.022159493,0.055186555,0.054946005,0.09166516,0.58018559217453,0.3587692975997925,0.55065733
blhgmw1p,sample_8000,0.3260999917984009,1000,"(256, 256, 256)",256,256,256,10,7.818622e-05,-0.00015888867,5.8065052e-05,0.00036553506,0.020620827,0.03611783,0.036094222,0.03599417,0.08281207829713821,0.08908668160438538,0.19805121
tvb2qzt3,sample_12000,0.39309999346733093,1000,"(256, 256, 256)",256,256,256,10,0.00011309102,-0.000120098324,8.185014e-05,0.0003655365,0.02062639,0.036128175,0.03610506,0.03630916,0.09050419926643372,0.0930740237236023,0.22604035
t9urjrfy,sample_25000,0.4670999944210053,1000,"(256, 256, 256)",256,256,256,10,0.00023615564,2.6027847e-05,0.00017110564,0.0003655371,0.020649947,0.036171857,0.036150567,0.037597954,0.11763037741184235,0.10744406282901764,0.31726158
sv3xk7ym,sample_32000,0.6133000254631042,1000,"(256, 256, 256)",256,256,256,10,0.00071149244,0.0007065538,0.0006899592,0.0003655431,0.0208141,0.03647374,0.036463555,0.045307726,0.22983652353286743,0.16680577397346497,0.51881087
mhp08jrh,sample_40000,0.7584999799728394,1000,"(256, 256, 256)",256,256,256,10,0.0011237905,0.0013631713,0.0012071502,0.0003655407,0.02106997,0.036937773,0.036940437,0.054749563,0.334823876619339,0.22259876132011414,0.5521341
5y312gpz,sample_47000,0.8098999857902527,1000,"(256, 256, 256)",256,256,256,10,0.0013356935,0.0017054586,0.0014598658,0.00036555325,0.02125533,0.03727121,0.037281994,0.06059777,0.3893626034259796,0.2514103651046753,0.53640956
ogsrd332,sample_55000,0.8420000076293945,1000,"(256, 256, 256)",256,256,256,10,0.0014686055,0.00192286,0.0016206558,0.0003655591,0.02140429,0.03753757,0.037554175,0.064896576,0.4241640567779541,0.2687884271144867,0.5190996
04dfhsa0,sample_8000,0.4744000136852264,1000,"(512, 512, 512)",512,512,512,10,6.461385e-05,4.8583235e-05,7.790891e-07,0.0004310565,0.020621242,0.025513578,0.025506858,0.025633438,0.08360972255468369,0.09016119688749313,0.194781
m2dlx52q,sample_12000,0.5170999765396118,1000,"(512, 512, 512)",512,512,512,10,9.747501e-05,8.182888e-05,2.591252e-05,0.00043105782,0.02062579,0.025519341,0.02551282,0.025949823,0.09045276045799255,0.09362617135047913,0.22127429
ip4f87o9,sample_25000,0.5934000015258789,1000,"(512, 512, 512)",512,512,512,10,0.00036584988,0.00036367925,0.0002264151,0.00043105954,0.020683426,0.025592683,0.025589477,0.02975752,0.14889492094516754,0.12434372305870056,0.39572346
