run_id,run_name,test_accuracy,sample_size,layer_structure,rank_0,rank_1,rank_2,rank_3,rank_4,weight_mean_0,weight_mean_1,weight_mean_2,weight_mean_3,weight_mean_4,weight_std_0,weight_std_1,weight_std_2,weight_std_3,weight_std_4,activation_mean_global,activation_std_global,pca_explained_var
p30xpx38,sample_8000,0.10100000351667404,1000,"(8, 8, 8, 8)",8,8,8,8,8,-0.00023293564,0.031665325,0.0034264736,-0.0006479868,-0.019871522,0.02050773,0.21801002,0.19263078,0.20404395,0.21954075,0.07735183835029602,0.09639392793178558,0.4988385
bo5el5ou,sample_12000,0.10100000351667404,1000,"(8, 8, 8, 8)",8,8,8,8,8,-0.00023305083,0.031664494,0.0034146383,-0.0006638956,-0.01987152,0.020507725,0.2180103,0.1926318,0.20403983,0.21950376,0.07736845314502716,0.09636090695858002,0.49985933
h2j5hkmd,sample_25000,0.18850000202655792,1000,"(8, 8, 8, 8)",8,8,8,8,8,0.0004014864,0.032574642,0.0031369403,3.5513658e-05,-0.019871522,0.020673713,0.2194143,0.1953903,0.20728002,0.22230312,0.21244841814041138,0.1772046983242035,0.72481626
6k7hqiej,sample_32000,0.17550000548362732,1000,"(8, 8, 8, 8)",8,8,8,8,8,0.0003243497,0.03235116,0.0031159706,-0.00018351572,-0.019871563,0.020641772,0.21914205,0.19488826,0.2066986,0.22171685,0.19407829642295837,0.1678045243024826,0.7094139
ki96hbz2,sample_40000,0.18400000035762787,1000,"(8, 8, 8, 8)",8,8,8,8,8,0.00037358614,0.032458495,0.0030690841,-0.00018874276,-0.019871566,0.020659696,0.21929881,0.19513902,0.20693325,0.22178106,0.20532599091529846,0.17369046807289124,0.7188157
0ow6gob8,sample_47000,0.19259999692440033,1000,"(8, 8, 8, 8)",8,8,8,8,8,0.00044134157,0.032667696,0.0030988809,-3.8600992e-05,-0.019871453,0.020687426,0.21953478,0.19557266,0.20741257,0.22221056,0.2215365469455719,0.1822209507226944,0.73049164
vtfi4wyw,sample_55000,0.1988999992609024,1000,"(8, 8, 8, 8)",8,8,8,8,8,0.0005066584,0.03287456,0.0031165201,0.0001292252,-0.019871514,0.020716472,0.21978483,0.19601674,0.20789674,0.22266243,0.2370733618736267,0.19042165577411652,0.7414965
qiisqznj,sample_8000,0.09449999779462814,1000,"(16, 16, 16, 16)",16,16,16,16,10,0.00011417637,0.0006556711,-0.0037911679,0.0070424452,-0.0009283122,0.020608181,0.15072459,0.1452419,0.14661956,0.14568156,0.07944945245981216,0.08938686549663544,0.34185797
qcqqffd6,sample_12000,0.10159999877214432,1000,"(16, 16, 16, 16)",16,16,16,16,10,0.00026246102,0.00082495436,-0.0034829122,0.00700266,-0.0009282984,0.020639587,0.15095139,0.14554812,0.1469037,0.14616743,0.11418022960424423,0.10708297789096832,0.43291008
uifl3clm,sample_25000,0.25380000472068787,1000,"(16, 16, 16, 16)",16,16,16,16,10,0.0007580238,0.0018268353,-0.0018825436,0.0071461378,-0.0009282868,0.02083305,0.1523425,0.14727095,0.14884004,0.14960937,0.23688775300979614,0.16687482595443726,0.67759407
rrvdzqn2,sample_32000,0.29339998960494995,1000,"(16, 16, 16, 16)",16,16,16,16,10,0.00093105965,0.002388501,-0.0012514348,0.0075974055,-0.0009282671,0.020930998,0.15304631,0.1481148,0.14978608,0.15152228,0.2809827923774719,0.1869228482246399,0.72472405
j3m4yb5g,sample_40000,0.287200003862381,1000,"(16, 16, 16, 16)",16,16,16,16,10,0.0012507517,0.0036836225,0.00013753213,0.0090616895,-0.0009282548,0.02115616,0.15465856,0.14999238,0.15178923,0.15562993,0.3619348406791687,0.225893035531044,0.79329157
