run_id,run_name,sample_size,layer_structure,rank_0,rank_1,rank_2,rank_3,weight_mean_0,weight_mean_1,weight_mean_2,weight_mean_3,weight_std_0,weight_std_1,weight_std_2,weight_std_3,activation_mean_global,activation_std_global,pca_explained_var
gcej4vpv,sample_40000,1000,"(8, 8, 8)",8,8,8,8,0.00051991,0.034898203,-0.011255167,0.046799015,0.022043703,0.20128086,0.2046656,0.22156942,0.3310970664024353,0.2562229037284851,0.9585437
yu52hcss,sample_47000,1000,"(8, 8, 8)",8,8,8,8,0.00050434633,0.034554563,-0.011699975,0.04679904,0.021978395,0.20063427,0.20393726,0.2209189,0.32394373416900635,0.25096815824508667,0.95788276
rzu2y9mn,sample_55000,1000,"(8, 8, 8)",8,8,8,8,0.00045348832,0.03332393,-0.013053188,0.046799045,0.021762418,0.19850533,0.20153873,0.21883646,0.3027834892272949,0.2327980399131775,0.95349437
o76nh0b6,sample_8000,1000,"(16, 16, 16)",16,16,16,10,-9.9006866e-05,-0.0018632133,0.0040659597,0.0019165666,0.020618267,0.14041777,0.14192043,0.14133577,0.0757564976811409,0.08264727890491486,0.42478296
c16ftszp,sample_12000,1000,"(16, 16, 16)",16,16,16,10,-0.000114284136,-0.0017801179,0.004235227,0.0019165713,0.020635547,0.14054787,0.1420157,0.14156379,0.0841403603553772,0.08362611383199692,0.53156173
yrh0qjrg,sample_25000,1000,"(16, 16, 16)",16,16,16,10,-0.00011251989,-0.0017631552,0.004268333,0.0019165609,0.02063997,0.14058042,0.14205623,0.14166476,0.08581096678972244,0.08460208773612976,0.5363711
y51zc4i9,sample_32000,1000,"(16, 16, 16)",16,16,16,10,-9.1593036e-05,-0.0017203614,0.0043294644,0.0019165914,0.020655042,0.14069,0.1421576,0.14187951,0.09476281702518463,0.08795025199651718,0.55878496
c3d4g92i,sample_40000,1000,"(16, 16, 16)",16,16,16,10,0.0050028046,0.046625018,0.0433817,0.0019178704,0.039479077,0.2732107,0.27576244,0.3417765,1.5497462749481201,1.0464626550674438,0.5764228
tg7o1j56,sample_8000,1000,"(1024, 1024, 1024)",784,1023,1024,10,0.00071469694,0.00059201976,0.00044142973,-0.00017790488,0.020943655,0.018322365,0.01833832,0.038091194,0.24265572428703308,0.17127743363380432,0.38855457
izikuqlg,sample_47000,1000,"(16, 16, 16)",16,16,16,10,0.004792672,0.04948729,0.048495773,0.0019178089,0.04435319,0.30689055,0.30905035,0.3861908,1.5281363725662231,1.10286545753479,0.56971836
crv5lauc,sample_12000,1000,"(1024, 1024, 1024)",784,1023,1024,10,0.0007172754,0.00058656494,0.00043244218,-0.00017791838,0.02091917,0.018301155,0.018317012,0.037002582,0.24220620095729828,0.1703583002090454,0.39235276
e0xgt6bd,sample_25000,1000,"(1024, 1024, 1024)",784,1024,1024,10,0.00066757447,0.0006033859,0.00044259414,-0.00017787136,0.021013223,0.018381929,0.018398765,0.04100544,0.2351054698228836,0.1706141233444214,0.3663445
mxehddq4,sample_55000,1000,"(16, 16, 16)",16,16,16,10,0.0046656984,0.048939064,0.047631714,0.0019185295,0.04337103,0.2999291,0.30213967,0.37704885,1.5121718645095825,1.0910484790802002,0.57598764
