run_id,run_name,test_accuracy,sample_size,layer_structure,rank_0,rank_1,rank_2,rank_3,rank_4,weight_mean_0,weight_mean_1,weight_mean_2,weight_mean_3,weight_mean_4,weight_std_0,weight_std_1,weight_std_2,weight_std_3,weight_std_4,activation_mean_global,activation_std_global,pca_explained_var
ffadstit,sample_32000,0.36000001430511475,1000,"(1024, 1024, 1024, 1024)",784,1023,1023,1024,10,6.1674175e-05,3.243247e-05,6.178585e-05,3.226116e-05,1.7111412e-05,0.020601388,0.018037358,0.018044943,0.018044433,0.01851272,0.08359716087579727,0.08817822486162186,0.20110703
xl2wjv6q,sample_40000,0.3564000129699707,1000,"(1024, 1024, 1024, 1024)",784,1023,1023,1024,10,6.1729545e-05,3.2471253e-05,6.17752e-05,3.2326276e-05,1.7111184e-05,0.020601407,0.018037379,0.018044958,0.018044446,0.018514615,0.08359910547733307,0.08819324523210526,0.20140012
phkxgwbo,sample_47000,0.378600001335144,1000,"(1024, 1024, 1024, 1024)",784,1023,1023,1024,10,5.9205173e-05,3.0236439e-05,6.0130387e-05,3.091689e-05,1.7111184e-05,0.020601073,0.018037079,0.018044664,0.018044135,0.018479606,0.08312354981899261,0.08793219923973083,0.19914481
nq3yjfvt,sample_55000,0.96069997549057,1000,"(1024, 1024, 1024, 1024)",784,1024,1023,1024,10,0.00043757944,0.0006097106,0.0005704643,0.00044654612,1.7226917e-05,0.021049084,0.018423622,0.01843427,0.018440899,0.043306515,0.1928997039794922,0.15495620667934418,0.3183773
gbbne08b,sample_8000,0.09740000218153,1000,"(8, 8, 8, 8)",8,8,8,8,8,-8.609537e-05,0.025750684,-0.02001594,0.039951123,0.028955817,0.020612104,0.18720672,0.18940307,0.20687342,0.20657502,0.07778879255056381,0.07870441675186157,0.6706038
z8b512in,sample_12000,0.09740000218153,1000,"(8, 8, 8, 8)",8,8,8,8,8,-8.5737745e-05,0.025749626,-0.020021772,0.039937843,0.028955828,0.020611823,0.18720391,0.18940225,0.20687473,0.206523,0.07789553701877594,0.07866711914539337,0.66895044
a8t9wcuz,sample_25000,0.09740000218153,1000,"(8, 8, 8, 8)",8,8,8,8,8,-8.325274e-05,0.025748834,-0.020038337,0.039891087,0.028955836,0.020611275,0.18719861,0.18940404,0.20688318,0.20633747,0.0787048265337944,0.07870058715343475,0.6647222
vhhh1h67,sample_32000,0.09740000218153,1000,"(8, 8, 8, 8)",8,8,8,8,8,-8.076066e-05,0.025749322,-0.020045158,0.03986901,0.028955828,0.020611137,0.18719727,0.18940693,0.20688793,0.20624864,0.07930400222539902,0.07879361510276794,0.66245526
9mivusie,sample_40000,0.11349999904632568,1000,"(8, 8, 8, 8)",8,8,8,8,8,0.00014308913,0.026076097,-0.020014146,0.039449707,0.02895585,0.02064496,0.18754226,0.18982606,0.20728934,0.2048767,0.1309487670660019,0.09690219908952713,0.7185029
k9wlgz0c,sample_47000,0.11349999904632568,1000,"(8, 8, 8, 8)",8,8,8,8,8,0.00014016985,0.026064208,-0.020017352,0.039455123,0.028955847,0.02064355,0.18752803,0.18980889,0.20727433,0.20488699,0.13016802072525024,0.09649571031332016,0.7156502
4muagcvf,sample_55000,0.11349999904632568,1000,"(8, 8, 8, 8)",8,8,8,8,8,0.00012324448,0.026019288,-0.020031568,0.039466932,0.028955746,0.020638855,0.18748088,0.18975998,0.20722634,0.20491062,0.1257774531841278,0.0948549285531044,0.7066052
kog2klok,sample_8000,0.0982000008225441,1000,"(16, 16, 16, 16)",16,16,16,16,10,-9.642823e-05,-0.0018652147,0.004054595,-0.00045961514,-0.008419835,0.02061807,0.14041607,0.14192039,0.14131758,0.14429638,0.07591824233531952,0.0828215703368187,0.4221728
cjoz6gov,sample_12000,0.0982000008225441,1000,"(16, 16, 16, 16)",16,16,16,16,10,-9.721713e-05,-0.0018645644,0.004053444,-0.00046221446,-0.008419836,0.02061803,0.14041576,0.14192043,0.14131677,0.1442909,0.0758405476808548,0.08274649828672409,0.4223014
dcizlcp9,sample_25000,0.0982000008225441,1000,"(16, 16, 16, 16)",16,16,16,16,10,-9.983774e-05,-0.001862705,0.0040504616,-0.00048150774,-0.008419837,0.02061793,0.14041495,0.14192083,0.14131476,0.14426097,0.07558529078960419,0.08249962329864502,0.42275226
bsoqvwio,sample_32000,0.0982000008225441,1000,"(16, 16, 16, 16)",16,16,16,16,10,-0.000101114,-0.0018615755,0.0040489445,-0.00048893224,-0.008419835,0.020617893,0.14041466,0.14192119,0.14131376,0.14424874,0.07546776533126831,0.08238321542739868,0.42292982
d7p3l9oj,sample_40000,0.0982000008225441,1000,"(16, 16, 16, 16)",16,16,16,16,10,-0.000102581325,-0.0018609411,0.004047644,-0.0005011,-0.008419835,0.020617848,0.14041425,0.14192156,0.14131284,0.14423187,0.07534727454185486,0.08224325627088547,0.42326415
ual6ejdx,sample_47000,0.0982000008225441,1000,"(16, 16, 16, 16)",16,16,16,16,10,-0.00010360882,-0.001860131,0.0040468154,-0.0005100593,-0.008419835,0.020617835,0.14041412,0.14192206,0.14131238,0.14421958,0.07525098323822021,0.08214825391769409,0.4233973
hluc4zjb,sample_55000,0.11349999904632568,1000,"(16, 16, 16, 16)",16,16,16,16,10,-9.673386e-05,-0.0017673289,0.004042853,-0.00086169504,-0.00841979,0.020624628,0.14046244,0.14200218,0.14137411,0.14399236,0.07821149379014969,0.08511370420455933,0.39238775
8bnrfu1i,sample_8000,0.09799999743700027,1000,"(32, 32, 32, 32)",32,32,32,32,10,-2.2458664e-05,0.002673715,0.0028851829,-0.0010316682,-0.0022653337,0.020624738,0.1007552,0.102149844,0.10320433,0.10671383,0.07610249519348145,0.08356960862874985,0.27538636
71z2h8vx,sample_12000,0.09799999743700027,1000,"(32, 32, 32, 32)",32,32,32,32,10,-2.2478658e-05,0.0026742485,0.0028864215,-0.0010317909,-0.0022653334,0.020624788,0.10075544,0.10215017,0.103204906,0.10671563,0.07606448233127594,0.08358600735664368,0.27577657
4do6axya,sample_25000,0.09799999743700027,1000,"(32, 32, 32, 32)",32,32,32,32,10,-2.1541757e-05,0.0026769855,0.002889272,-0.0010372908,-0.0022653274,0.020625109,0.100756995,0.10215205,0.103206374,0.10671601,0.07620368897914886,0.08371919393539429,0.2776121
3h8v3k90,sample_32000,0.09799999743700027,1000,"(32, 32, 32, 32)",32,32,32,32,10,-2.1240114e-05,0.0026783147,0.0028909524,-0.0010389165,-0.0022653223,0.020625273,0.10075777,0.10215299,0.10320741,0.106717445,0.07624144852161407,0.08377720415592194,0.27871254
o82llmsc,sample_40000,0.09799999743700027,1000,"(32, 32, 32, 32)",32,32,32,32,10,-2.0657e-05,0.0026802358,0.0028943492,-0.00103978,-0.0022653197,0.020625481,0.100758776,0.10215433,0.10320933,0.106719874,0.0763276219367981,0.08386889100074768,0.280136
ux44htpr,sample_47000,0.09799999743700027,1000,"(32, 32, 32, 32)",32,32,32,32,10,-2.00479e-05,0.002682011,0.0028965613,-0.0010411778,-0.002265316,0.020625692,0.100759774,0.102155626,0.10321061,0.10672169,0.07642854750156403,0.08396472036838531,0.28157014
6ik4s1qi,sample_55000,0.09799999743700027,1000,"(32, 32, 32, 32)",32,32,32,32,10,-1.9394796e-05,0.0026842454,0.0028993853,-0.0010427312,-0.0022653118,0.020625928,0.10076091,0.102157086,0.1032122,0.10672347,0.07653988152742386,0.0840662270784378,0.28328592
s5lihx1f,sample_8000,0.10100000351667404,1000,"(64, 64, 64, 64)",64,64,64,64,10,6.3800864e-05,0.0008791011,-0.00019815203,-0.00047969207,0.0006262598,0.020640923,0.07212392,0.07205759,0.07261362,0.07187722,0.07696330547332764,0.08400285243988037,0.21546866
qg3izzqe,sample_12000,0.10100000351667404,1000,"(64, 64, 64, 64)",64,64,64,64,10,6.385959e-05,0.0008795509,-0.0001980773,-0.00048028206,0.00062625913,0.020640934,0.07212397,0.0720577,0.07261363,0.0718765,0.07700170576572418,0.08400483429431915,0.21540838
s9tu19i2,sample_25000,0.10100000351667404,1000,"(64, 64, 64, 64)",64,64,64,64,10,6.4233514e-05,0.00088089047,-0.00019802671,-0.00048401539,0.00062625966,0.02064099,0.07212415,0.07205809,0.07261352,0.071869716,0.07714873552322388,0.0840335413813591,0.21514113
aieotkjb,sample_32000,0.10100000351667404,1000,"(64, 64, 64, 64)",64,64,64,64,10,6.4553635e-05,0.0008816802,-0.00019793535,-0.00048517145,0.0006262612,0.02064104,0.072124325,0.072058365,0.072613575,0.07186875,0.07725752145051956,0.08406165987253189,0.21506348
1oyvgnec,sample_40000,0.1137000024318695,1000,"(64, 64, 64, 64)",64,64,64,64,10,0.00010349834,0.00094093947,-0.00017322646,-0.00050227804,0.0006262728,0.020647708,0.07214746,0.07208714,0.07263847,0.07199682,0.08631432056427002,0.0882345661520958,0.23924428
ftsy75do,sample_47000,0.11869999766349792,1000,"(64, 64, 64, 64)",64,64,64,64,10,0.000117769145,0.0009596177,-0.00016450224,-0.0004981012,0.0006262769,0.020650499,0.072157174,0.07209839,0.07265019,0.072068214,0.08938594162464142,0.08984684944152832,0.25109726
ag7gkir5,sample_55000,0.12610000371932983,1000,"(64, 64, 64, 64)",64,64,64,64,10,0.000117933596,0.00095926074,-0.00016415477,-0.00049669796,0.00062628026,0.020650497,0.07215718,0.07209847,0.07265028,0.072071284,0.08939018845558167,0.08985753357410431,0.2511676
ahkwkfjg,sample_8000,0.1404000073671341,1000,"(128, 128, 128, 128)",128,128,128,128,10,7.858723e-05,0.00015648577,6.821475e-05,9.760265e-05,0.0011895336,0.020637888,0.05090975,0.051095225,0.051274296,0.051499937,0.08499976992607117,0.08973734825849533,0.21936572
pcezxnha,sample_12000,0.16590000689029694,1000,"(128, 128, 128, 128)",128,128,128,128,10,8.2475686e-05,0.00016133046,6.944615e-05,9.848163e-05,0.0011895368,0.020638317,0.050910864,0.05109632,0.051275283,0.051515467,0.085678830742836,0.09009413421154022,0.2220431
pty1svpo,sample_25000,0.11349999904632568,1000,"(128, 128, 128, 128)",128,128,128,128,10,7.921933e-05,0.00015774852,6.85095e-05,9.833397e-05,0.0011895329,0.02063798,0.050909985,0.05109545,0.051274493,0.05150308,0.08510404825210571,0.08979330211877823,0.21977815
a36o4ucm,sample_32000,0.11349999904632568,1000,"(128, 128, 128, 128)",128,128,128,128,10,7.77677e-05,0.00015610259,6.804963e-05,9.8005985e-05,0.001189532,0.020637821,0.05090957,0.051095035,0.05127412,0.051497247,0.08485999703407288,0.08966100215911865,0.21865588
